Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2010-02-17,0.0,2043200.0,0.0,0.0,0.0,0.000234776,0,1.0,0.0,2.92e-05,2.527738215,0.0,0.0,31.78102218,0.0,241,244,41240,244,244,65173.13,36500.0,0.0
2010-02-18,0.0,2054650.0,0.0,0.0,0.0,0.000240913,0,1.0,0.0,2.88e-05,2.527738215,0.0,0.0,154.4638015,0.0,234,235,41475,235,235,18911.74,7413.0,0.0
2010-02-19,0.0,2063600.0,0.0,0.0,0.0,0.000227749,0,1.0,0.0,2.25e-05,2.527738215,0.0,0.0,1278.516635,0.0,185,183,41658,183,183,9749.98,700.0,0.0
2010-02-20,0.0,2074700.0,0.0,0.0,0.0,0.000218369,0,1.0,0.0,2.79e-05,2.527738215,0.0,0.0,22186.68799,0.0,224,224,41882,224,224,11150.03,50.0,0.0
2010-02-21,0.0,2085400.0,0.0,0.0,0.0,0.000233893,0,1.0,0.0,2.69e-05,2.527738215,0.0,0.0,689.1798759,0.0,218,218,42100,218,218,12266.83,1553.0,0.0
2010-02-22,0.0,2098150.0,0.0,0.0,0.0,0.000383961,0,1.0,0.0,3.2e-05,2.527738215,0.0,0.0,65.21405555,0.0,262,261,42361,261,261,32350.0,19551.0,0.0
2010-02-23,0.0,2110700.0,0.0,0.0,0.0,0.000216335,0,1.0,0.0,3.15e-05,2.527738215,0.0,0.0,25100.0,0.0,252,252,42613,252,252,12600.0,50.0,0.0
2010-02-24,0.0,2120200.0,0.0,0.0,0.0,0.000281721,0,1.0,0.0,3.57e-05,3.781179252,0.0,0.0,179.245283,0.0,195,196,42809,196,196,14800.0,5300.0,0.0
2010-02-25,0.0,2127600.0,0.0,0.0,0.0,0.000226905,0,1.0,0.0,2.78e-05,3.781179252,0.0,0.0,1057.142857,0.0,150,150,42959,150,150,8100.0,700.0,0.0
2010-02-26,0.0,2136100.0,0.0,0.0,0.0,0.000318676,0,1.0,0.0,3.2e-05,3.781179252,0.0,0.0,64.5820591,0.0,176,176,43135,176,176,29349.0,13162.0,0.0
2010-02-27,0.0,2144750.0,0.0,0.0,0.0,0.000223416,0,1.0,0.0,3.25e-05,3.781179252,0.0,0.0,1922.222222,0.0,176,176,43311,176,176,9101.0,450.0,0.0
2010-02-28,0.0,2152850.0,0.0,0.0,0.0,0.000291451,0,1.0,0.0,3.05e-05,3.781179252,0.0,0.0,154.2857143,0.0,165,165,43476,165,165,13399.0,5250.0,0.0
2010-03-01,0.0,2162150.0,0.0,0.0,0.0,0.000228226,0,1.0,0.0,3.5e-05,3.781179252,0.0,0.0,930.0,0.0,187,187,43663,187,187,10300.0,1000.0,0.0
2010-03-02,0.0,2171950.0,0.0,0.0,0.0,0.000248005,0,1.0,0.0,3.68e-05,3.781179252,0.0,0.0,376.9230769,0.0,203,204,43867,204,204,12400.0,2600.0,0.0
2010-03-03,0.0,2179350.0,0.0,0.0,0.0,0.000220128,0,1.0,0.0,2.78e-05,3.781179252,0.0,0.0,2960.0,0.0,150,151,44018,151,151,7650.0,250.0,0.0
2010-03-04,0.0,2188450.0,0.0,0.0,0.0,0.000295802,0,1.0,0.0,3.42e-05,3.781179252,0.0,0.0,88.34951456,0.0,187,187,44205,187,187,19400.0,10300.0,0.0
2010-03-05,0.0,2197200.0,0.0,0.0,0.0,0.000465874,0,1.0,0.0,3.29e-05,3.781179252,0.0,0.0,45.69190601,0.0,178,178,44383,178,178,27900.0,19150.0,0.0
2010-03-06,0.0,2206350.0,0.0,0.0,0.0,0.000275077,0,1.0,0.0,3.44e-05,3.781179252,0.0,0.0,38.69496065,0.0,187,188,44571,188,188,32797.39,23646.0,0.0
2010-03-07,0.0,2215000.0,0.0,0.0,0.0,0.00029489,0,1.0,0.0,3.25e-05,3.781179252,0.0,0.0,114.4964407,0.0,177,178,44749,178,178,16250.0,7555.0,0.0
2010-03-08,0.0,2221800.0,0.0,0.0,0.0,0.00037011,0,1.0,0.0,3.06e-05,4.53108175,0.0,0.0,75.46684009,0.0,143,141,44890,141,141,15845.18,9011.0,0.0
2010-03-09,0.0,2229200.0,0.0,0.0,0.0,0.000277486,0,1.0,0.0,3.33e-05,4.53108175,0.0,0.0,185.0,0.0,149,149,45039,149,149,11400.0,4000.0,0.0
2010-03-10,0.0,2236650.0,0.0,0.0,0.0,0.000232087,0,1.0,0.0,3.36e-05,4.53108175,0.0,0.0,551.4433753,0.0,153,152,45191,152,152,8850.0,1351.0,0.0
2010-03-11,0.0,2243950.0,0.0,0.0,0.0,0.000288479,0,1.0,0.0,3.29e-05,4.53108175,0.0,0.0,167.7775224,0.0,155,154,45345,154,154,11749.99,4351.0,0.0
2010-03-12,0.0,2249850.0,0.0,0.0,0.0,0.000220729,0,1.0,0.0,2.66e-05,4.53108175,0.0,0.0,2360.0,0.0,119,119,45464,119,119,6150.0,250.0,0.0
2010-03-13,0.0,2257750.0,0.0,0.0,0.0,0.000243582,0,1.0,0.0,3.56e-05,4.53108175,0.0,0.0,415.7894737,0.0,160,160,45624,160,160,9800.0,1900.0,0.0
2010-03-14,0.0,2264000.0,0.0,0.0,0.0,0.000227016,0,1.0,0.0,2.82e-05,4.53108175,0.0,0.0,403.2258065,0.0,127,127,45751,127,127,7800.0,1550.0,0.0
